Очередь;Метка по КС;Идентификатор канала;Тип канала;Субъект Федерации;Район;Населенный пункт;PTP IP Prefix;AS Мегафон;Сети для для ССК    Z1.0/24;net Z1;Сеть LAN;граничный сегмент;Мнемокод X;номер Y;Полосность;Контроллер ССК;Камера обзорная;Камера обзорная;Камера обзорная;Камера обзорная;Камера обзорная;Камера обзорная;Контроллер Ураган;Контроллер Ураган;Контроллер SICK;Контроллер SICK;iNode;ИБП;Laser SICK;Laser SICK;Laser SICK;Laser SICK;Laser SICK;Laser SICK;Laser SICK;Laser SICK;Laser SICK;Laser SICK;Laser SICK;Laser SICK
;;;;;;;Z2(осн), Z3 (рез);Z4;;Z1;;;;;;;1;2;3;4;5;6;1;2;1;2;;;1;2;3;4;5;6;7;8;9;10;11;12
I;192;КС 192;Основной;Московская обл.;Орехово-Зуевский р-н; Коротково;10.0.50.144/30;25159;10.77.48.0/24;10.77.48.;Z1.64/26;Z1.0/27;MSO;23;2;10.77.48.66;10.77.48.67;10.77.48.68;;;;;10.77.48.73;;10.77.48.75;;10.77.48.77;10.77.48.78;10.77.48.79;10.77.48.80;10.77.48.81;10.77.48.82;;;;;;;;
I;192;КС 192 Р;Резервный;Московская обл.;Орехово-Зуевский р-н; Коротково;10.0.50.148/30;25159;10.77.48.0/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
II;250;КС 250;Основной;Ростовская обл.;Мясниковский р-н; Ростов-на-Дону;10.0.22.0/30;31163;10.22.30.0/24;10.22.30.;Z1.64/26;Z1.0/27;RND;10;4;10.22.30.66;10.22.30.67;10.22.30.68;10.22.30.69;10.22.30.70;;;10.22.30.73;;10.22.30.75;;10.22.30.77;10.22.30.78;10.22.30.79;10.22.30.80;10.22.30.81;10.22.30.82;10.22.30.83;10.22.30.84;10.22.30.85;10.22.30.86;;;;
II;313;КС 313;Основной;Астраханская обл.;Наримановский р-н;`Буруны;10.0.20.0/30;65501;10.20.30.0/24;10.20.30.;Z1.64/26;Z1.0/27;AST;10;2;10.20.30.66;10.20.30.67;10.20.30.68;;;;;10.20.30.73;;10.20.30.75;;10.20.30.77;10.20.30.78;10.20.30.79;10.20.30.80;10.20.30.81;10.20.30.82;;;;;;;;
I;356;КС 356;Основной;Калужская обл.;Перемышльский р-н;~ Забелино;10.0.40.16/30;65094;10.40.32.0/24;10.40.32.;Z1.64/26;Z1.0/27;KLG;04;2;10.40.32.66;10.40.32.67;10.40.32.68;;;;;10.40.32.73;;10.40.32.75;;10.40.32.77;10.40.32.78;10.40.32.79;10.40.32.80;10.40.32.81;10.40.32.82;;;;;;;;
I;356;КС 356 Р;Резервный;Калужская обл.;Перемышльский р-н;~ Забелино;10.0.40.20/30;65094;10.40.32.0/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I;297;КС 297;Основной;Ленинградская обл.;Приозёрский р-н;~ Приозёрск, Ларионово;10.0.91.0/30;20632;10.91.30.0/24;10.91.30.;Z1.64/26;Z1.0/27;SPB;10;2;10.91.30.66;10.91.30.67;10.91.30.68;;;;;10.91.30.73;;10.91.30.75;;10.91.30.77;10.91.30.78;10.91.30.79;10.91.30.80;10.91.30.81;10.91.30.82;;;;;;;;
I;335;КС 335;Основной;Псковская обл.;Псковский р-н;~ Псков, Уграда;10.0.90.0/30;31213;10.90.30.0/24;10.90.30.;Z1.64/26;Z1.0/27;PSK;10;2, на участке точки - расширение до 3;10.90.30.66;10.90.30.67;10.90.30.68;;;;;10.90.30.73;;10.90.30.75;;10.90.30.77;10.90.30.78;10.90.30.79;10.90.30.80;10.90.30.81;10.90.30.82;;;;;;;;
I;340;КС 340;Основной;Калининградская обл.;Гвардейский р-н;~ Толпаки;10.0.86.20/30;31213;10.86.30.0/24;10.86.30.;Z1.64/26;Z1.0/27;KLN;10;2;10.86.30.66;10.86.30.67;10.86.30.68;;;;;10.86.30.73;;10.86.30.75;;10.86.30.77;10.86.30.78;10.86.30.79;10.86.30.80;10.86.30.81;10.86.30.82;;;;;;;;
